Title,Year,Duration,Rating,Budget,PosterURL
2. Titanic,1997,3h 14m,7.9,"$290,000,000","https://m.media-amazon.com/images/M/MV5BNjQ4NGU5ZWEtMjM1My00MTcxLWIzYWMtN2MwM2E2MWYzODk2XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
35. El caballero oscuro,2008,2h 32m,9.0,"$200,000,000","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
23. Troya,2004,2h 43m,7.3,"$215,000,000","https://m.media-amazon.com/images/M/MV5BMTk5MzU1MDMwMF5BMl5BanBnXkFtZTcwNjczODMzMw@@._V1_QL75_UY207_CR0,0,140,207_.jpg"
17. El caballero oscuro: La leyenda renace,2012,2h 44m,8.4,"$230,000,000","https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
18. Los Vengadores,2012,2h 23m,8.0,"$220,000,000","https://m.media-amazon.com/images/M/MV5BNGE0YTVjNzUtNzJjOS00NGNlLTgxMzctZTY4YTE1Y2Y1ZTU4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
8. Avatar,2009,2h 42m,7.9,"$257,000,000","https://m.media-amazon.com/images/M/MV5BMDEzMmQwZjctZWU2My00MWNlLWE0NjItMDJlYTRlNGJiZjcyXkEyXkFqcGc@._V1_QL75_UY207_CR0,0,140,207_.jpg"
"26. Las crónicas de Narnia: El león, la bruja y el armario",2005,2h 23m,6.9,"$214,000,000","https://m.media-amazon.com/images/M/MV5BNWFhMDRiOTEtY2Y5NS00NjVjLTllODItZDhiYzk0MjJhNzUzXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
33. Armageddon,1998,2h 31m,6.7,"$200,000,000","https://m.media-amazon.com/images/M/MV5BNzRmM2FiZmQtM2NmMy00MjNhLWJkMWQtNzE1OTVlOTZkYmJhXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
4. Enredados,2010,1h 40m,7.7,"$277,000,000","https://m.media-amazon.com/images/M/MV5BN2YwZjFmYzktODJlOC00MWI4LTlkMzAtMzAyNjRhN2Q5ZGFhXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
5. Harry Potter y el misterio del príncipe,2009,2h 33m,7.6,"$271,000,000","https://m.media-amazon.com/images/M/MV5BMGMyYzQ0ZTgtYmM0NS00NzY3LWI2ODAtNTEyNjc3NTNmMWJkXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
38. WALL·E,2008,1h 38m,8.4,"$194,000,000","https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
6. Waterworld,1995,2h 15m,6.3,"$262,000,000","https://m.media-amazon.com/images/M/MV5BNGUzZjIwN2MtZTE0Mi00ZmNjLTk5ODctMDhlYjcwYjZkZjg4XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
20. 2012,2009,2h 38m,5.8,"$217,000,000","https://m.media-amazon.com/images/M/MV5BMTRhZjdmMWYtNDRkMi00NTdhLTkyZWEtNDBjNWM2NzVlZWQ3XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
36. Van Helsing,2004,2h 11m,6.1,"$197,000,000","https://m.media-amazon.com/images/M/MV5BOGM3YmRlOTYtMWM1Ni00YmQ0LTlmMzctYjNhNjdhZjU3ZmJjXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
11. Spider-Man 2,2004,2h 7m,7.5,"$246,000,000","https://m.media-amazon.com/images/M/MV5BNGQ0YTQyYTgtNWI2YS00NTE2LWJmNDItNTFlMTUwNmFlZTM0XkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg"
3. Spider-Man 3,2007,2h 19m,6.3,"$289,000,000","https://m.media-amazon.com/images/M/MV5BODE2NzNhMDctYjUzMC00Y2M5LWI2Y2EtODJkZTFjN2Y5ODlmXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
10. King Kong,2005,3h 7m,7.2,"$246,000,000","https://m.media-amazon.com/images/M/MV5BMWY0NWE0ZjUtNjRlOS00ZDViLTgxNTQtMGMwN2FhNDY1YTg2XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
7. Piratas del Caribe: El cofre del hombre muerto,2006,2h 31m,7.4,"$259,000,000","https://m.media-amazon.com/images/M/MV5BMDMyY2JiZWUtYTYxZS00Nzg1LTljNzQtYTgzNTcyNDFiODg1XkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg"
32. Transformers: El lado oscuro de la Luna,2011,2h 34m,6.2,"$201,000,000","https://m.media-amazon.com/images/M/MV5BOTc2YWNkOGQtZjE4Mi00YTRkLWFjZjctOGYxZmY1ZWFhMGM4XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
29. Green Lantern (Linterna Verde),2011,1h 54m,5.5,,"https://m.media-amazon.com/images/M/MV5BOWVjZWJmZjEtMjgzZC00N2ZkLTk3Y2ItM2FkOGY3MjhlNzBmXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
9. John Carter,2012,2h 12m,6.6,"$250,000,000","https://m.media-amazon.com/images/M/MV5BZTk1YTMyODYtNjRjOS00ZGI3LWE3ZWQtM2Y4OGU2M2YyOTg1XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
27. Toy Story 3,2010,1h 43m,8.3,"$213,000,000","https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_QL75_UY207_CR3,0,140,207_.jpg"
19. Transformers: La venganza de los caídos,2009,2h 29m,6.0,"$217,000,000","https://m.media-amazon.com/images/M/MV5BNjk4OTczOTk0NF5BMl5BanBnXkFtZTcwNjQ0NzMzMw@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
1. Piratas del Caribe: En el fin del mundo,2007,2h 49m,7.1,"$336,000,000","https://m.media-amazon.com/images/M/MV5BNjc4YjFmNTktNzRhOC00YmM3LTg3ZjgtZjJmNWI2NjJkMGJjXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
13. X-Men: La decisión final,2006,1h 44m,6.6,"$242,000,000","https://m.media-amazon.com/images/M/MV5BMThmOWE3OWEtODJmNC00ZDEzLTk4MWUtNzEzM2RiNmJiZmU3XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg"
